/* DATA DESCRIPTION:
Citation:	Bange, Hermann W; Nachtigall, Kerstin; Hansen, Levka; Hepach, Helmke; Qelaj, Kastriot; Malien, Frank (2025): Chlorophyll a data from the Boknis Eck time series station 2015 to 2021 [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.976764
Abstract:	The dataset was acquired at the time-series station Boknis Eck (54.5°N and 10.0°E) at six standard depths (1, 5, 10, 15, 20, 25 m). The dataset contains data for Chlorophyll a (sampled with a rosette sampler, measured using a fluorometer until 2019 and using high performance liquid chromatography from 2019). The data are from 2015 to 2021.
Keyword(s):	Baltic Sea; Boknis Eck; chlorophyll-a; Time-Series Data
Project(s):	DAM sustainMare - CREATE: Concepts for Reducing the Effects of Anthropogenic pressures and uses on marine Ecosystems and on Biodiversity (CREATE)
	Research Mission of the German Marine Research Alliance (DAM): Protection and sustainable use of marine areas (sustainMare) (URI: https://www.sustainmare.de/index.php.en)
Funding:	Federal Ministry of Education and Research (BMBF) (URI: https://www.bmbf.de/), grant/award no. 03F0910F: DAM sustainMare - CREATE, GEOMAR (URI: https://foerderportal.bund.de/foekat/jsp/SucheAction.do?actionMode=view&fkz=03F0910F)
Coverage:	LATITUDE: 54.529500 * LONGITUDE: 10.039300
	DATE/TIME START: 2015-01-06T09:54:24 * DATE/TIME END: 2021-12-01T09:00:00
	MINIMUM DEPTH, water: 1 m * MAXIMUM DEPTH, water: 25 m
Event(s):	Boknis_Eck_1957 * LATITUDE: 54.529500 * LONGITUDE: 10.039330 * DATE/TIME: 1957-04-30T00:00:00 * LOCATION: Boknis Eck * METHOD/DEVICE: CTD/Rosette (CTD-RO)
Parameter(s):	DATE/TIME (Date/Time) * GEOCODE * PI: Bange, Hermann W (https://orcid.org/0000-0003-4053-1394, hbange@geomar.de, https://www.geomar.de/hbange/)
	LATITUDE (Latitude) * GEOCODE * PI: Bange, Hermann W (https://orcid.org/0000-0003-4053-1394, hbange@geomar.de, https://www.geomar.de/hbange/)
	LONGITUDE (Longitude) * GEOCODE * PI: Bange, Hermann W (https://orcid.org/0000-0003-4053-1394, hbange@geomar.de, https://www.geomar.de/hbange/)
	DEPTH, water [m] (Depth water) * GEOCODE * PI: Bange, Hermann W (https://orcid.org/0000-0003-4053-1394, hbange@geomar.de, https://www.geomar.de/hbange/)
	Cast number (Cast) * PI: Bange, Hermann W (https://orcid.org/0000-0003-4053-1394, hbange@geomar.de, https://www.geomar.de/hbange/)
	Sample code/label (Sample label) * PI: Bange, Hermann W (https://orcid.org/0000-0003-4053-1394, hbange@geomar.de, https://www.geomar.de/hbange/)
	Chlorophyll a [µg/l] (Chl a) * PI: Bange, Hermann W (https://orcid.org/0000-0003-4053-1394, hbange@geomar.de, https://www.geomar.de/hbange/) * METHOD/DEVICE: Fluorometer (FLU) * COMMENT: Fluorometer Welschmeyer (1994) until 2018 and High Performance Liquid Chromatography from 2019
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0) (URI: https://creativecommons.org/licenses/by/4.0/)
Status:	Curation Level: Enhanced curation (URI: https://wiki.pangaea.de/wiki/Curation_levels)
Size:	1423 data points
*/
Date/Time	Latitude	Longitude	Depth water [m]	Cast	Sample label	Chl a [µg/l]
2015-01-06T09:54:24	54.5295	10.0393	1	1	488	1.67
2015-01-06T09:54:24	54.5295	10.0393	5	1	488	1.36
2015-01-06T09:54:24	54.5295	10.0393	10	1	488	1.95
2015-01-06T09:54:24	54.5295	10.0393	15	1	488	1.38
2015-01-06T09:54:24	54.5295	10.0393	20	1	488	0.51
2015-01-06T09:54:24	54.5295	10.0393	25	1	488	0.46
2015-02-23T09:52:42	54.5295	10.0393	1	1	489	
2015-02-23T09:52:42	54.5295	10.0393	5	1	489	
2015-02-23T09:52:42	54.5295	10.0393	10	1	489	0.82
2015-02-23T09:52:42	54.5295	10.0393	15	1	489	
2015-02-23T09:52:42	54.5295	10.0393	20	1	489	
2015-02-23T09:52:42	54.5295	10.0393	25	1	489	1.16
2015-03-17T10:01:02	54.5295	10.0393	1	1	490	1.84
2015-03-17T10:01:02	54.5295	10.0393	5	1	490	2.10
2015-03-17T10:01:02	54.5295	10.0393	10	1	490	1.74
2015-03-17T10:01:02	54.5295	10.0393	15	1	490	
2015-03-17T10:01:02	54.5295	10.0393	20	1	490	0.27
2015-03-17T10:01:02	54.5295	10.0393	25	1	490	0.32
2015-04-21T09:55:36	54.5295	10.0393	1	1	491	1.98
2015-04-21T09:55:36	54.5295	10.0393	5	1	491	2.51
2015-04-21T09:55:36	54.5295	10.0393	10	1	491	5.54
2015-04-21T09:55:36	54.5295	10.0393	15	1	491	0.36
2015-04-21T09:55:36	54.5295	10.0393	20	1	491	0.14
2015-04-21T09:55:36	54.5295	10.0393	25	1	491	0.10
2015-05-12T10:35:59	54.5295	10.0393	1	1	492	3.28
2015-05-12T10:35:59	54.5295	10.0393	5	1	492	3.65
2015-05-12T10:35:59	54.5295	10.0393	10	1	492	2.37
2015-05-12T10:35:59	54.5295	10.0393	15	1	492	
2015-05-12T10:35:59	54.5295	10.0393	20	1	492	0.11
2015-05-12T10:35:59	54.5295	10.0393	25	1	492	0.12
2015-06-04T09:48:51	54.5295	10.0393	1	1	493	0.29
2015-06-04T09:48:51	54.5295	10.0393	5	1	493	0.29
2015-06-04T09:48:51	54.5295	10.0393	10	1	493	0.70
2015-06-04T09:48:51	54.5295	10.0393	15	1	493	0.37
2015-06-04T09:48:51	54.5295	10.0393	20	1	493	0.40
2015-06-04T09:48:51	54.5295	10.0393	25	1	493	0.69
2015-06-21T10:10:54	54.5295	10.0393	1	1	494	1.16
2015-06-21T10:10:54	54.5295	10.0393	5	1	494	1.58
2015-06-21T10:10:54	54.5295	10.0393	10	1	494	
2015-06-21T10:10:54	54.5295	10.0393	15	1	494	1.09
2015-06-21T10:10:54	54.5295	10.0393	20	1	494	
2015-06-21T10:10:54	54.5295	10.0393	25	1	494	0.53
2015-07-14T09:33:48	54.5295	10.0393	1	1	495	0.51
2015-07-14T09:33:48	54.5295	10.0393	5	1	495	1.09
2015-07-14T09:33:48	54.5295	10.0393	10	1	495	2.43
2015-07-14T09:33:48	54.5295	10.0393	15	1	495	3.14
2015-07-14T09:33:48	54.5295	10.0393	20	1	495	1.40
2015-07-14T09:33:48	54.5295	10.0393	25	1	495	0.60
2015-08-04T09:58:41	54.5295	10.0393	1	1	496	1.19
2015-08-04T09:58:41	54.5295	10.0393	5	1	496	1.34
2015-08-04T09:58:41	54.5295	10.0393	10	1	496	1.00
2015-08-04T09:58:41	54.5295	10.0393	15	1	496	1.51
2015-08-04T09:58:41	54.5295	10.0393	20	1	496	0.62
2015-08-04T09:58:41	54.5295	10.0393	25	1	496	0.21
2015-09-10T09:50:23	54.5295	10.0393	1	1	497	
2015-09-10T09:50:23	54.5295	10.0393	5	1	497	
2015-09-10T09:50:23	54.5295	10.0393	10	1	497	
2015-09-10T09:50:23	54.5295	10.0393	15	1	497	
2015-09-10T09:50:23	54.5295	10.0393	20	1	497	
2015-09-10T09:50:23	54.5295	10.0393	25	1	497	
2015-11-05T10:06:48	54.5295	10.0393	1	1	499	2.31
2015-11-05T10:06:48	54.5295	10.0393	5	1	499	2.21
2015-11-05T10:06:48	54.5295	10.0393	10	1	499	2.41
2015-11-05T10:06:48	54.5295	10.0393	15	1	499	1.68
2015-11-05T10:06:48	54.5295	10.0393	20	1	499	0.35
2015-11-05T10:06:48	54.5295	10.0393	25	1	499	0.27
